Link Name1,Start,End,Duration,Handoff
0_1/0_1_0 to AllUsers/Transmitter1,35291,35327,36,False
0_1/0_1_0 to AllUsers/Transmitter1,35341,35435,94,False
4_1/4_1_0 to AllUsers/Transmitter1,37741,37820,79,False
4_1/4_1_0 to AllUsers/Transmitter1,37848,37928,80,False
4_1/4_1_0 to AllUsers/Transmitter1,38002,38058,56,False
5_0/5_0_0 to AllUsers/Transmitter1,38436,38528,92,False
5_0/5_0_0 to AllUsers/Transmitter1,38533,38605,72,False
5_0/5_0_0 to AllUsers/Transmitter1,38610,38754,144,False
5_0/5_0_0 to AllUsers/Transmitter1,38756,38853,97,False
3_2/3_2_0 to AllUsers/Transmitter1,39615,39772,157,False
3_2/3_2_0 to AllUsers/Transmitter1,39901,39978,77,False
3_2/3_2_0 to AllUsers/Transmitter1,40111,40265,154,False
1_1/1_1_0 to AllUsers/Transmitter1,41020,41105,85,False
1_1/1_1_0 to AllUsers/Transmitter1,41138,41218,80,False
1_1/1_1_0 to AllUsers/Transmitter1,41238,41312,74,False
1_1/1_1_0 to AllUsers/Transmitter1,41358,41446,88,False
2_0/2_0_0 to AllUsers/Transmitter1,41817,41894,77,False
2_0/2_0_0 to AllUsers/Transmitter1,41912,41994,82,False
2_0/2_0_0 to AllUsers/Transmitter1,41996,42158,162,False
2_0/2_0_0 to AllUsers/Transmitter1,42187,42246,59,False
0_2/0_2_0 to AllUsers/Transmitter1,43025,43136,111,False
0_2/0_2_0 to AllUsers/Transmitter1,43301,43357,56,False
0_2/0_2_0 to AllUsers/Transmitter1,43506,43644,138,False
6_0/6_0_0 to AllUsers/Transmitter1,44428,44527,99,False
6_0/6_0_0 to AllUsers/Transmitter1,44552,44607,55,False
6_0/6_0_0 to AllUsers/Transmitter1,44645,44685,40,False
6_0/6_0_0 to AllUsers/Transmitter1,44733,44822,89,False
7_2/7_2_0 to AllUsers/Transmitter1,45300,45373,73,False
7_2/7_2_0 to AllUsers/Transmitter1,45391,45465,74,False
7_2/7_2_0 to AllUsers/Transmitter1,45485,45550,65,False
5_1/5_1_0 to AllUsers/Transmitter1,46471,46571,100,False
5_1/5_1_0 to AllUsers/Transmitter1,46881,46939,58,False
3_0/3_0_0 to AllUsers/Transmitter1,47762,47787,25,False
3_0/3_0_0 to AllUsers/Transmitter1,47853,47928,75,False
3_0/3_0_0 to AllUsers/Transmitter1,48129,48178,49,False
